Nom entreprise;siren;siret;sigle;nb_etablissements;nb_etab_ouverts;activite_principale;activite_principale_naf25;annee_tranche_effectif_salarie;siege_adresse;caractere_employeur;coordonnees;date_creation;date_debut_activite;latitude;longitude;etat_administratif;nature_juridique;tranche_effectif_salarie;section_activite_principale
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;356000000;;;13120;9088;53.10Z;53.10Y;2023;DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS;O;48.831515159,2.2780898787;2003-01-01;2008-01-01;48.831515159;2.2780898787;A;5510;53;H
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;903908796;;;1;1;68.20B;68.20H;;FRM DE VALSERY 02600 COEUVRES-ET-VALSERY;N;49.341208579,3.1561401353;2021-09-22;2021-09-22;49.341208579;3.1561401353;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;505017012;;;2;1;68.20B;68.20H;;81 RUE JOUFFROY D'ABBANS 75017 PARIS;N;48.883185469,2.303883641;2010-08-25;2010-08-25;48.883185469;2.303883641;A;6540;NN;L
LA POSTE;532484755;;;1;1;68.20B;68.20H;;4 RUE DUBOURDIEU 33370 TRESSES;N;44.841773348,-0.493207712;2011-05-13;2011-05-13;44.841773348;-0.493207712;A;6540;NN;L
LA POSTE;532484755;;;1;1;68.20B;68.20H;;4 RUE DUBOURDIEU 33370 TRESSES;N;44.841773348,-0.493207712;2011-05-13;2011-05-13;44.841773348;-0.493207712;A;6540;NN;L
LA POSTE;532484755;;;1;1;68.20B;68.20H;;4 RUE DUBOURDIEU 33370 TRESSES;N;44.841773348,-0.493207712;2011-05-13;2011-05-13;44.841773348;-0.493207712;A;6540;NN;L
LA POSTE;532484755;;;1;1;68.20B;68.20H;;4 RUE DUBOURDIEU 33370 TRESSES;N;44.841773348,-0.493207712;2011-05-13;2011-05-13;44.841773348;-0.493207712;A;6540;NN;L
LA POSTE;532484755;;;1;1;68.20B;68.20H;;4 RUE DUBOURDIEU 33370 TRESSES;N;44.841773348,-0.493207712;2011-05-13;2011-05-13;44.841773348;-0.493207712;A;6540;NN;L
LA POSTE;532484755;;;1;1;68.20B;68.20H;;4 RUE DUBOURDIEU 33370 TRESSES;N;44.841773348,-0.493207712;2011-05-13;2011-05-13;44.841773348;-0.493207712;A;6540;NN;L
LA POSTE;532484755;;;1;1;68.20B;68.20H;;4 RUE DUBOURDIEU 33370 TRESSES;N;44.841773348,-0.493207712;2011-05-13;2011-05-13;44.841773348;-0.493207712;A;6540;NN;L
LA POSTE;532484755;;;1;1;68.20B;68.20H;;4 RUE DUBOURDIEU 33370 TRESSES;N;44.841773348,-0.493207712;2011-05-13;2011-05-13;44.841773348;-0.493207712;A;6540;NN;L
LA POSTE;532484755;;;1;1;68.20B;68.20H;;4 RUE DUBOURDIEU 33370 TRESSES;N;44.841773348,-0.493207712;2011-05-13;2011-05-13;44.841773348;-0.493207712;A;6540;NN;L
